id,filename,algorithm_sol,algorithm_sol_int,color_sol,time_sol,time,time_ratio,iterations_sol,iterations,iterations_ratio,random_seed,partitions,variability,probability,min_degree,avg_degree,max_degree,std_degree,color,nodes,edges,cheat,edge_node_ratio,node_edge_ratio,density
1,../../graphs/col/G-1000-0.5-30-1.4.col,TABU,0,47,6.868492,7,0.9812131428571428,58198,58668,0.9919888184359447,4,30,1.000000,0.5,376,469.074000,541,33.092364,30,1000,234537,1,234.537,0.00426371958369042,468604.92600000004
2,../../graphs/col/W-1000-0.9-90-0.3.col,ILS,1,90,14.846573,20,0.7423286499999999,50647,141485,0.35796727568293457,3,90,0.000000,0.9,846,889.168000,922,11.156154,90,1000,444584,1,444.584,0.002249293721771364,888278.832
3,../../graphs/col/U-1000-0.5-120-1.1.col,TABU,0,102,6.849305,30,0.22831016666666668,493408,2281441,0.2162703309005142,1,120,1.000000,0.5,195,491.298000,813,134.619297,117,1000,245649,1,245.649,0.004070849056987816,490806.702
4,../../graphs/col/G-1000-0.9-100-1.4.col,ILS,1,101,19.812178,20,0.9906089,90581,91013,0.9952534253348423,4,100,1.000000,0.9,786,879.234000,919,27.955487,100,1000,439617,1,439.617,0.0022747073020379103,878354.7660000001
5,../../graphs/col/W-500-0.9-120-0.1.col,TABU,0,107,6.709794,20,0.3354897,441102,1694724,0.2602795499444157,1,120,0.000000,0.9,418,445.392000,466,7.827026,119,500,111348,1,222.696,0.004490426410891978,222250.608
6,../../graphs/col/U-1000-0.5-150-1.3.col,HEA,2,119,16.040784,45,0.3564618666666666,743388,1104591,0.6729984220403751,3,150,1.000000,0.5,205,491.934000,798,138.603801,137,1000,245967,1,245.967,0.004065586033898856,491442.06600000005
7,../../graphs/col/U-1000-0.1-50-1.3.col,HEA,2,35,0.285628,7,0.040804,34704,1379819,0.025151124893917246,3,50,1.000000,0.1,35,101.424000,144,26.490908,41,1000,50712,1,50.712,0.019719198611768417,101322.576
8,../../graphs/col/W-1000-0.5-60-1.4.col,TABU,0,65,18.890528,20,0.9445264,950875,1001293,0.949647106291565,4,60,1.000000,0.5,390,482.412000,547,29.937072,60,1000,241206,1,241.206,0.004145833851562565,481929.588
9,../../graphs/col/G-500-0.5-50-0.5.col,HEA,2,47,4.671738,7,0.667391142857143,499359,768563,0.6497307312477962,5,50,0.000000,0.5,212,243.880000,280,11.410416,50,500,60970,1,121.94,0.008200754469411186,121696.12
10,../../graphs/col/W-500-0.9--.8.col,TABU,0,127,18.790878,30,0.6263626,1384258,2176034,0.6361380382843282,8,,,0.9,425,449.100000,471,7.135965,,500,112275,0,224.55,0.00445335114673792,224100.90000000002
11,../../graphs/col/W-1000-0.5--.8.col,HEA,2,91,31.651988,60,0.5275331333333333,1628627,3297742,0.49386125415511584,8,,,0.5,422,499.500000,558,19.837691,,1000,249750,0,249.75,0.004004004004004004,499000.5
