id,filename,algorithm_sol,algorithm_sol_int,color_sol,partitions,variability,probability,min_degree,avg_degree,max_degree,std_degree,color,nodes,edges,cheat,edge_node_ratio,node_edge_ratio,density,greedy_color_sol,greedy_iss_min,greedy_iss_max,greedy_iss_mean,greedy_iss_median,greedy_iss_std,greedy_iss_q25,greedy_iss_q75,rlf_color_sol,rlf_time_sol,rlf_iss_min,rlf_iss_max,rlf_iss_mean,rlf_iss_median,rlf_iss_std,rlf_iss_q25,rlf_iss_q75,dsat_color_sol,dsat_time_sol,dsat_iss_min,dsat_iss_max,dsat_iss_mean,dsat_iss_median,dsat_iss_std,dsat_iss_q25,dsat_iss_q75,best_greedy_col,dsat_rlf_ratio,rlf_dsat_ratio,treewidth,vertex_cover,iss_min,iss_max,iss_mean,iss_median,iss_std,iss_q25,iss_q75
1,../../graphs/col/G-1000-0.5-30-1.4.col,TABU,0,47,30,1.000000,0.5,376,469.074000,541,33.092364,30,1000,234537,1,234.537,0.00426371958369042,0.46954354354354355,98,6,28,10.1010101010101,9,3.4802502534196504,9.0,10.0,72,0.403911,7,96,13.88888888888889,10.0,13.73753525216157,9.0,11.0,94,0.025127,2,135,10.638297872340425,9.0,13.125409211300097,8.0,10.0,72,1.3055555555555556,0.7659574468085106,817,1000,42,993,516.2467532467532,506.0,281.68800967260086,272.5,773.75
2,../../graphs/col/W-1000-0.9-90-0.3.col,ILS,1,90,90,0.000000,0.9,846,889.168000,922,11.156154,90,1000,444584,1,444.584,0.002249293721771364,0.890058058058058,276,1,18,3.6101083032490973,3,1.8056791415256896,3.0,4.0,118,1.195982,1,20,8.474576271186441,9.0,4.386677313537815,4.0,12.0,251,0.043359,1,15,3.9840637450199203,4,2.01785654096626,3.0,4.0,118,2.1271186440677967,0.4701195219123506,993,1000,48,958,502.6666666666667,550.5,308.81425230102707,194.75,763.0
3,../../graphs/col/U-1000-0.5-120-1.1.col,TABU,0,102,120,1.000000,0.5,195,491.298000,813,134.619297,117,1000,245649,1,245.649,0.004070849056987816,0.49178978978978977,118,1,82,8.403361344537815,7,8.445557781030828,5.0,9.0,111,0.492727,1,82,9.00900900900901,7,8.679647558298766,6.0,9.0,110,0.025919,3,67,9.090909090909092,7.0,7.379049756761411,6.0,10.0,110,0.990990990990991,1.009090909090909,616,998,65,995,491.72058823529414,476.5,299.29972226666456,197.75,769.0
4,../../graphs/col/G-1000-0.9-100-1.4.col,ILS,1,101,100,1.000000,0.9,786,879.234000,919,27.955487,100,1000,439617,1,439.617,0.0022747073020379103,0.8801141141141141,225,2,53,4.424778761061947,4.0,4.287045726598552,3.0,4.0,154,1.607946,2,47,6.4935064935064934,4.0,6.538220214389614,3.0,7.0,210,0.044074,2,63,4.761904761904762,4.0,5.250698398793901,3.0,4.0,154,1.3636363636363635,0.7333333333333333,896,1000,66,986,549.0729166666666,586.0,265.2009464455473,314.75,769.0
5,../../graphs/col/W-500-0.9-120-0.1.col,TABU,0,107,120,0.000000,0.9,418,445.392000,466,7.827026,119,500,111348,1,222.696,0.004490426410891978,0.8925691382765532,160,1,9,3.1055900621118013,3,0.9526442441439622,3.0,3.0,141,0.321907,2,10,3.5460992907801416,3,1.1368828140701508,3.0,4.0,154,0.010628,1,9,3.2467532467532467,3.0,1.0683301264011598,3.0,4.0,141,1.0921985815602837,0.9155844155844156,493,500,1,467,262.1818181818182,300,162.85381062893074,94.0,406.0
6,../../graphs/col/U-1000-0.5-150-1.3.col,HEA,2,119,150,1.000000,0.5,205,491.934000,798,138.603801,137,1000,245967,1,245.967,0.004065586033898856,0.4924264264264264,138,1,79,7.194244604316546,6,7.822188523811863,4.0,8.0,127,0.586338,2,83,7.874015748031496,6,8.476851884559851,5.0,8.0,130,0.027905,1,74,7.6923076923076925,6.0,7.339862654066527,5.0,8.0,127,1.0236220472440944,0.9769230769230769,611,1000,199,985,640.3703703703703,662.5,232.44340323892652,446.0,846.25
7,../../graphs/col/U-1000-0.1-50-1.3.col,HEA,2,35,50,1.000000,0.1,35,101.424000,144,26.490908,41,1000,50712,1,50.712,0.019719198611768417,0.10152552552552553,47,1,34,20.833333333333332,24.5,9.226080824265877,17.25,27.0,39,0.034673,1,59,25.641025641025642,27,12.440357033899959,18.0,34.0,36,0.007583,3,71,27.77777777777778,28.0,11.767051120118925,23.0,32.0,36,0.9230769230769231,1.0833333333333333,325,990,152,985,591.4767441860465,578.5,248.8376615501471,381.25,829.0
8,../../graphs/col/W-1000-0.5-60-1.4.col,TABU,0,65,60,1.000000,0.5,390,482.412000,547,29.937072,60,1000,241206,1,241.206,0.004145833851562565,0.4828948948948949,109,3,22,9.090909090909092,9.0,2.0252781190615834,8.0,10.0,95,0.507072,1,41,10.526315789473685,10,5.24676618796102,9.0,10.0,107,0.024997,6,28,9.345794392523365,9,2.2067768852962217,8.0,10.0,95,1.1263157894736842,0.8878504672897196,867,1000,127,986,553.5949367088608,550,258.70969370137647,313.0,786.0
9,../../graphs/col/G-500-0.5-50-0.5.col,HEA,2,47,50,0.000000,0.5,212,243.880000,280,11.410416,50,500,60970,1,121.94,0.008200754469411186,0.4887374749498998,64,3,10,7.6923076923076925,8,1.3453981395282788,7.0,9.0,59,0.063493,4,10,8.474576271186441,9,1.1941803162433626,8.0,9.0,63,0.006583,5,10,7.936507936507937,8,1.2683875447376773,7.0,9.0,59,1.0677966101694916,0.9365079365079365,480,498,2,451,213.9090909090909,258,174.81330300949898,9.0,376.0
10,../../graphs/col/W-500-0.9--.8.col,TABU,0,127,,,0.9,425,449.100000,471,7.135965,,500,112275,0,224.55,0.00445335114673792,0.9,169,1,5,2.9411764705882355,3.0,0.6125500327633304,3.0,3.0,156,0.33084,1,5,3.2051282051282053,3.0,0.6192393744039872,3.0,4.0,163,0.010299,1,5,3.067484662576687,3,0.6395294793910793,3.0,3.0,156,1.044871794871795,0.9570552147239264,493,500,20,469,203,161.5,199.4943608225556,36.25,411.25
